Order ID,Order Date,Customer ID,Customer Name,Region,State,Product Category,Product Name,Quantity,Unit Price,Total Sales,Profit,Discount,Payment Method,Sales Person
ORD10494,2022-01-01,CUST1123,Sanjay Bansal,North,Punjab,Books,Biography,6,369.23,2215.38,693.54,0.0,Cash,Michael Brown
ORD10655,2022-01-01,CUST1067,Kiran Rao,West,Maharashtra,Books,Business Book,7,865.81,6060.67,2408.31,0.0,Credit Card,Emily Davis
ORD10151,2022-01-02,CUST1062,Amit Kumar,South,Tamil Nadu,Electronics,Tablet,10,37389.69,373896.9,147437.57,0.0,Credit Card,John Smith
ORD10223,2022-01-03,CUST1264,Ashok Agarwal,North,Delhi,Clothing,Dress,3,3144.27,9432.81,1939.9,0.0,Cash,Sarah Johnson
ORD10482,2022-01-03,CUST1023,Lakshmi Gupta,West,Madhya Pradesh,Electronics,Monitor,8,73266.24,556823.42,182817.93,29306.5,Cash,John Smith
ORD10135,2022-01-04,CUST1095,Anjali Rao,South,Tamil Nadu,Toys,Educational Toy,9,3047.19,24682.24,9607.19,2742.47,Debit Card,Robert Garcia
ORD10514,2022-01-04,CUST1237,Lakshmi Pillai,East,West Bengal,Clothing,Sweater,9,4031.26,27211.0,8021.07,9070.34,Cash,Sarah Johnson
ORD10783,2022-01-04,CUST1135,Mohan Menon,East,Odisha,Home & Kitchen,Pressure Cooker,2,4394.91,6592.37,1864.09,2197.45,Debit Card,Robert Garcia
ORD10325,2022-01-05,CUST1083,Prakash Chopra,South,Tamil Nadu,Books,Business Book,4,446.67,1786.68,505.03,0.0,UPI,Emily Davis
ORD10446,2022-01-06,CUST1203,Ravi Mehta,West,Goa,Books,Cookbook,9,1031.93,7894.26,2149.05,1393.11,Debit Card,David Wilson
ORD10551,2022-01-06,CUST1290,Divya Shah,North,Punjab,Books,Business Book,4,1404.75,5619.0,2174.1,0.0,Credit Card,Michael Brown
ORD10233,2022-01-08,CUST1236,Suresh Menon,North,Haryana,Home & Kitchen,Dinner Set,10,6224.43,59132.08,11380.76,3112.22,UPI,Jennifer Martinez
